address,withdrawal_block,first_shield_block
0x75911ae3b59cec1941427d18365c9b55cc2c12f7,24195257,24195311
0xf7baec96b70d03f19339d06f8190c1ab6496148f,24216548,24217638
0x8750e8f55787c175f193d06d3d03987180329877,24254320,24255540
0x144759010ad6f4112560d278faf18a572604beab,24254846,24255555
0x799b4109989e41659a3aa5c5edef1ae65bb15975,24297975,24270792
0xd0afc51bef54ba5d0878e4f4908521f6ed8c5585,24291153,24291166
0x961bb8251c1a1649c746d93654a28c7bf4421900,24325669,24318268
0xad5769606c9c4c98023c6a488a1da1d609c9b1cc,24333406,24333940
0x0e30e2cdb7fbe899f1cbba1336539689c5b26a1e,24345775,24345841
0x190907c268cd501c41dcee296ab726276a79e9a2,24345995,24346028
0x558aa5438d74d2b9269300806ab26d939d4b450b,24346084,24346113
0xbe85e3cd3fbc67df77c79cdfeac7aa742f425f97,24364621,24364963
0x9c72a4319ef2afedd0b16cf49d5d7ab704d08d45,14290025,24429694
0x71b36c28d56d6a3c932a6847640118def24bf43b,22364885,24447141
0x73b664cab71f495cfec92572a0e435bceb27b003,25450625,24546349
0xf2909bcfa3e849e8cca60f6fc096d0a144d28d3a,24560392,24560456
0x5bcad514e7d7be03f9772e9b334127c15c65eb44,24560465,24560507
0x4b94dc1fc5724d70f789ff87cc030e4c6a4e92e4,16740373,24572528
0x02e67f9c1b4ec029b476f24499d3a82c3ee23e5c,11070407,24589623
0x9c7823eefec80e37ea324454d54e78f4c499c878,13679244,24589870
0xb95d5c802c064628e321f30ba4296a20905c8d2e,24600034,24600370
0x63150ac8e35c6c685e93ee4d7d5cb8eafb2f016b,24637043,24637749
0xdeb8bd30139da478f9f426c6249b9dd360df1af3,20114472,24640942
0x072c9ddfe926ca2aab4b6cb9f30c655992acdfd1,24696346,24696484
0x5094ea9093c0316ec4b8074775e9287095591a26,24696409,24696493
0x533aa1f632f491434eb94560cb99a305c998bc8f,17299190,24747682
0x8b333e5b8a009ea56ea3502765fe62101c22ad4c,24741406,24749488
0xc671727da7103d31ac3141ca2ef45e1e3fe29259,24763524,24764089
0xbfef6f65c50af0d042c1304d19cd04ee61c5a4c2,24763893,24765533
0x3ab1a836f826814edc4ffbb14a31031ce801aba2,24768195,24768238
0x6d1865947b9f1957aed383f8eae15745fcc444f8,24771306,24771315
0x6614e9cce73552037e45bb99a77dc731fcfad1a7,24779559,24775892
0x45ae924808b3250e9c9573da5ec65a400e3d789e,24878092,24878114
0x224c940003dd0b8aa1a20e655ced0363d573fa46,24973227,24973641
0xe3bf4321b5b2e808c35f6802570195c7b5d0f548,25037808,25037882
0x9d4153c7d4d2be9c98730663947fcfd3e37a3557,25037892,25037964
0x87e32d4631d728d6ad7ebcd133b11febc9da9b93,11703047,25039802
0x852472baa8deadd6a497e6e04e620439f3131697,25043260,25043322
0x3df69016d867efc6a7293df881bb5e34cb1b5efc,25053413,25053421
0x81b4815f6f9a63482ffafeb3b354aa8a97c0f07a,25053988,25054073
0x2a6c9bba30b48dfafb1baaddfd010eb7a0592146,25057040,25065184
0x174cb51bc246fbd84ba310aa18cdbd9dac095213,25072026,25072276
0xccf2c4eaa04a0c53fba25b85fda816c0216e3557,25086901,25086916
0x179a578ffd2fe0986dc394df21a921f9d57f5cf4,25095989,25095725
0x258e2fd358b35a1ab8c083f4787802ac2dbaca8f,25145548,25152044
0xd5dfc76fb1540a82ff5a3d58af167f96421c7676,25185828,25192670
0xfeefae7574492d1ed4f4113b564f36baa5d6e16c,15308844,25228602
0xb4b9718ff1409390ed2ae6aef8f68e18852a1ff8,25252772,25252780
0x155f97c2bfaeb47041c771204bba9092f803526f,25257193,25257214
0x559e7f4bb552590e5d825ea5f1a3aaa07e12f262,25257230,25257245
0x506ac5884cc8d42cec5bac160a5ae151f4b0f711,25286323,25286470
0x4776abebec7e1136b93c712495c209998603d322,25293206,25293213
0xa9820fe6b113e407144b444cc50ccdb00cbd60c8,25293247,25293253
0x459d380d9d24037613b6763044b2273a274662f1,25268192,25295750
0x5f8e3b3f8f985b6d4729c3a97fbf6eab6b49c690,25300009,25300041
0x1e9d4bdff39a046d04e527f935200035e63cd9bf,25310736,25310994
0xe5d7ec8045df8a336b4c7772f3d89d6e52c74dc0,24476301,25311260
0x8558f502887a9a52c4b265d72327e0e529ff790d,10915441,25323776
0x08fd3d576023c157e436ff2efa1ab6a91e393fcf,25324623,25324776
0x2870325934bfb5e1d961f1e89611adca3533b5c0,25324815,25324978
0x978aad63fe35f7a72573c411c3dff53608aaeac9,13066902,25325471
0xd5d3c3b827ec358d167011aad04d00871e3088ac,25330744,25330999
0x8541dcb8fa218808adc49105621dfb68a5f20653,25343350,25343358
0x7fd9b93d3b99384878cb69677b7b99aa82ad0c0b,25341576,25350008
0xf19edb3bd4f8385d458a91d6950a4e6bc7080489,25350020,25350038
0xa0701d0e8bdb871f4ff28b9201a233b6c76691e4,25350060,25350083
0x0ff64244e3a415d02911d0491eb40cb5060005ef,25394683,25394716
0xe67cd014001ff823cd9543d5780100d77630af03,25395298,25395311
0x637543707272a23a195683b44260047f1ea1bed8,25395383,25395390
0xd19247f59985e19d33e388d3509d03ea395379e0,25395779,25395834
0xa8355c7fe405c04beb84208eebc26524f5595dab,25413433,25413525
0xf34f722234f5fbbf4be2e8a6cb224171acb7738b,25417408,25417623
0x170a75be8cef65418a1611b4a71f8c350de775b0,25417729,25417787
0xd453e95cc7e150b1dbdf6e68067b0e8bef1487d0,9748357,25432794
0xa440c14f9379ad76f4e8fdaeba2764cffd9f6dfa,25441565,25441619
0x60a49ddac9e2961648deb1c4b7f858d047cd714c,25481903,25482103
0x8a2ffda76e02bee5a8ad4b1103555904a3ee2575,25473250,25516649
0x8df8fbf612542c3b8632528db5f7833b3b6e406b,23809154,25516650
0xd378d1142830a9816128d8815137a070e3ede8f8,11272004,25524633
